isbn,original_title,author,original_publication_year,num_pages,genres,image_url,avg_rating,similar_books
743278909,Jonathan Livingston Seagull,Richard Bach,1970,,"fiction, fantasy, paranormal, young-adult, non-fiction, children, poetry",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,
1882968093,Triplanetary,"E.E. ""Doc"" Smith",1934,,"fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,
152057536,If a Tree Falls at Lunch Period,Gennifer Choldenko,2007,,"young-adult, fiction, children, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.5,
312938993,A is for Alibi,Sue Grafton,1982,,"mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,
60735430,Coyote Blue,Christopher Moore,1994,,"fiction, fantasy, paranormal, comics, graphic, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,
,Soul Mate for Sale,Kian Rhodes,2016,,"fantasy, paranormal, romance, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,
143035290,The Best of Everything,Rona Jaffe,1958,,"fiction, history, historical fiction, biography, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,
,"Shadow, Shadow",V.B. Marlowe,2015,,"fantasy, paranormal, young-adult, mystery, thriller, crime, fiction, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,
1608192628,Snakewoman of Little Egypt,Robert Hellenga,2010,,fiction,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.4,
451218469,Beneath a Marble Sky,John Shors,2004,,"romance, history, historical fiction, biography, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
